AGYA,75,150
ATOZ,75,155
AYLA,75,150
BRIO,75,155
CARRY PICKUP,75,90
DATSUN GO 2 SEAT,77,150
ETIOS,75,155
ETIOS VALCO,75,155
FEROZA,55,165
GRANDMAX PICKUP,75,90
IGNIS,77,150
KATANA,50,135
L300,75,90
MARCH,75,155
PICANTO,87,160
STARLET KOTAK,75,150
SWIFT,85,150
TRITON / COLORADO /DOUBLE CABIN,75,135
WAGON R,77,155
GETZ,0,0
STRADA,0,0
MIRAGE,0,0
AERIO,90,165
ACCENT,0,0
AVANZA,75,175
AVEGA,0,0
AVEO,85,150
BALENO,85,160
BALENO NEW,75,150
BRV,90,175
CALYA,75,155
CAPTIVA,90,165
CITY,90,165
DATSUN GO 3 SEAT,75,165
ERTIGA,82,165
ESCUDO 2.0 PETAK,75,165
FIESTA,90,160
GEELY EMGRAND,0,0
GRAND LIVINA,90,175
GRAND VITARA,77,165
GREAT COROLLA,75,165
HARTOP,35,180
HRV,90,175
JAZZ,95,165
JUKE,77,150
MAZDA 2,87,160
MOBILIO,90,175
PORSCHE,75,165
RIO,85,160
RUBICON,70,165
RUSH,77,175
SANTAFE,,
SIENTA,85,175
SIGRA,75,155
SIRION,77,165
SPIN,90,165
SPLASH,0,0
STARLET KAPSUL,75,160
TAFF GT,55,170
TARUNA,75,165
TEANA,0,0
TERIOS,77,175
TITANIUM,87,165
VIOS,85,165
X CROSS,85,165
XENIA,75,175
XL 7,0,0
XPANDER,90,175
YARIS,85,165
ORLANDO,0,0
PEUGEOT,0,0
SX4,0,0
DFSK GLORY 580,0,0
CORONA ABSOLUTE,0,0
TIMOR S515 I,0,0
ACCORD CIELO,85,200
ALMAZ,85,165
ALTIS,90,195
APV,75,200
BMW E36,75,200
CAMRY,85,200
CARRY FUTURA MINIBUS,65,210
CIVIC,90,200
CONFERO,80,200
CORTEZ,85,175
CRV,90,165
CX-5,90,175
ESCUDO 1.6,75,210
EVALIA,90,200
EVEREST,75,200
FERIO,85,200
FORTUNER,75,200
FREED,75,200
GRANDMAX MINIBUS,75,200
HARIER,90,165
INNOVA,85,200
KIJANG KAPSUL,75,210
KUDA,85,200
LANCER,0,0
LAND CRUISER,75,200
LEXUS,90,175
LUXIO,75,200
MERCY BOXER W-124,75,200
MU-X,85,200
OUTLANDER,0,0
PAJERO LAMA,75,200
PAJERO NEW,75,175
PANTHER,75,210
RANGER,75,200
ROCKY,55,210
SOLUNA,85,200
XTRAIL,85,175
CROWN,0,0
ELANTRA,0,0
STREAM,0,0
SANTAFE,0,0
ALPHARD,100,265
COLT 120PS,77,320
NAV1,95,225
SERENA,95,225
TRAJET,0,0
