Kode Produk,Nama Produk,Unassigned,GUDANG KEBUN,GUDANG PROCESSING,GUDANG BARANG JADI,GUDANG BAHAN BAKU,GUDANG BINTARO,GUDANG BINTARO PROCESSING,GUDANG BARANG SETENGAH JADI,GUDANG BARANG AFKIR,Kuantitas Total,Satuan Produk
FALPU1KG,Alpukat,-3,0,1.7,12.7,0,0,0,0,0,11.4,KG
RM101,Ampas Tebu,0,0,0,0,35000,0,0,0,0,35000,KG
FAFW1KG,Apel Fuji Wang Shan,0,0,0,0,0,0,0,0,0,0,KG
MEAWBB15,Apple Wood Beef Bacon,-0.15,0,0,0.85,0,2.15,0,0,0,2.85,KG
MEAWPB15,Apple Wood Pork Bacon,-0.3,0,0,0.85,0,1.7,0,0,0,2.25,KG
VASJWGR5,Asem Jawa,0,0,0,0.05,0,0,0,0,0,0.05,KG
VASPPA25,Asparagus,0,0,0,0.1,0,0,0,0,0,0.1,KG
VBACPA25,Baby Corn,-1.75,0,0.4,4.79,0,0,0,0,0,3.44,KG
VBABO1KG,Bawang Bombay,-3.75,0,0,7.6,0,0,0,0,0,3.85,KG
VBAME1KG,Bawang Merah,-3.9,0,0,9,0,0,0,0,0.9,6,KG
VBAPU1KG,Bawang Putih,-2.5,0,0,4.57,0,0,0,0,0,2.07,KG
VBAHI1KG,Bayam Hijau,-4.75,0,0,8.8,0,0,0,0,0.25,4.3,KG
VBYME1KG,Bayam Merah,0,0,0,1.2,0,0,0,0,0,1.2,KG
FBENGR50,Bengkuang,-3,0,0,4.78,0,0,0,0,0,1.78,KG
PE108,Benlox 250 gram,0,0,0,0,1100,0,0,0,0,1100,GRAM
NBEJETKG,Beras Jepang Taiyou,0,0,0,9,0,0,0,0,0,9,5 kg
MEBRSB50,Bratwurst Sausage Beef,0,0,0,0,0,5,0,0,0,5,KG
MEBRSP50,Bratwurst Sausage Pork,-0.5,0,0,0,0,3.5,0,0,0,3,KG
MEBSPC24,Breakfast Sausage Patty 3 Pcs Chicken,0,0,0,0,0,2.88,0,0,0,2.88,KG
MEBSPP24,Breakfast Sausage Patty 3 Pcs Pork,-0.96,0,0,0.76,0,0.92,0,0,0,0.72,KG
VBRO11KG,Brokoli - 1,-8.25,0,0,29.25,0,0,0,0,0,21,KG
VBRO21KG,Brokoli - 2,0,0,0,5,0,0,0,0,0.2,5.2,KG
FBUNMPCS,Buah Naga Merah,-12,0,0,21,0,0,0,0,3,12,2 Pcs
VBUB11KG,Buncis Baby Kenya,-2.5,0,0,58.5,0,0,0,0,0,56,KG
VBUB1KG,Buncis Baby Kenya 2,0,0,0,25.042,0,0,0,0,0,25.042,KG
VBULO1KG,Buncis Lokal,-1.25,0,0,6.2,0,0,0,0,0.5,5.45,KG
VBUPPA25,Buncis Perancis,0,0,0,37.5,0,0,0,0,0,37.5,KG
VBUTT1KG,Butternut,0,0,0,0,0,0,0,0,0,0,KG
VCAGE1KG,Cabai Gendot,0,0,0,0,0,0,0,0,0,0,KG
VCAHI1KG,Cabai Hijau,-0.2,0,0,1.98,0,0,0,0,0,1.78,KG
